episode_id,user_id,status,scenario_type,topic,scheduled_at,location,pre_anxiety,pre_crying_risk,pre_speech_block_risk,prep_journaling_10m_intensity,prep_three_messages_intensity,prep_breathing_4_7_8_intensity,prep_roleplay_self_qa_intensity,prep_safe_word_plan_intensity,stress_during,stress_after,crying_level,speech_block_level,expression_score,relationship_impact,partner_reaction,days_after_reflection,would_repeat_preparation,reflection_short
1,12,completed,interview,過去の退職理由,2024-08-05T11:08:00,client_site,7,5,7,7,5,,,,6,6,2,4,6,0,very_positive,6,9,正直、今回はタイミングを間違えたかもしれない。
2,4,cancelled,one_on_one,評価フィードバック,2025-12-15T15:34:00,online,4,7,7,,1,,,,,,,,,,,,,
3,22,cancelled,interview,過去の退職理由,2024-06-30T18:17:00,client_site,5,6,5,7,6,,,,,,,,,,,,,
4,3,cancelled,interview,過去の退職理由,2025-01-12T12:04:00,office,5,6,8,,9,7,,,,,,,,,,,,
5,30,completed,interview,評価面談,2024-03-01T20:03:00,park,5,4,4,9,,,8,,4,3,2,3,3,-1,unknown,,,
6,3,completed,partner,お金の話,2025-05-01T22:06:00,park,8,4,7,9,,,,,9,5,3,10,6,0,very_negative,,,
7,7,cancelled,interview,評価面談,2025-06-13T10:16:00,coworking,6,7,4,6,10,7,,,,,,,,,,,,
8,10,completed,interview,キャリアの方向性,2023-12-06T09:45:00,client_site,8,7,6,9,4,,6,,10,8,5,8,4,-3,negative,1,4,正直、今回はタイミングを間違えたかもしれない。
9,2,completed,interview,評価面談,2024-04-20T14:11:00,home,9,7,6,,6,5,7,,8,10,3,5,6,-4,very_negative,12,9,かなりつらかったが、終わってみると少し楽になった。
10,30,cancelled,partner,別れ話,2024-05-05T11:18:00,office,5,6,6,,,,6,,,,,,,,,,,
11,3,completed,interview,キャリアの方向性,2025-07-13T17:02:00,coworking,6,4,6,,8,6,,5,5,3,5,6,3,-1,positive,4,4,正直、今回はタイミングを間違えたかもしれない。
12,8,cancelled,one_on_one,評価フィードバック,2025-10-12T21:35:00,home,7,8,8,10,5,7,,,,,,,,,,,,
13,26,completed,interview,評価面談,2024-09-07T08:00:00,home,9,5,6,,8,,,,9,9,6,8,1,0,very_positive,2,2,かなり落ち着いて話せた。準備が効いた感じがある。
14,20,cancelled,client,納期遅延の相談,2025-08-25T19:09:00,office,10,5,6,,,,7,,,,,,,,,,,
15,24,completed,client,値上げ交渉,2024-06-20T21:58:00,cafe,8,2,6,,10,,,,10,7,3,8,5,-2,negative,13,4,泣かなかったが本音をあまり出せなかった。
