episode_id,user_id,status,scenario_type,topic,scheduled_at,location,pre_anxiety,pre_crying_risk,pre_speech_block_risk,prep_journaling_10m_intensity,prep_three_messages_intensity,prep_breathing_4_7_8_intensity,prep_roleplay_self_qa_intensity,prep_safe_word_plan_intensity,stress_during,stress_after,crying_level,speech_block_level,expression_score,relationship_impact,partner_reaction,days_after_reflection,would_repeat_preparation,reflection_short
1,1,completed,interview,評価面談,2024-08-27T09:53:00,park,6,6,8,6,7,7,6,,6,5,4,9,8,4,positive,14,9,少し泣いたけど言いたいことは伝えられた。
2,19,completed,one_on_one,人間関係の摩擦,2024-06-27T21:38:00,client_site,7,3,3,,9,,,3,9,9,7,1,7,0,positive,8,2,少し泣いたけど言いたいことは伝えられた。
3,2,completed,interview,過去の退職理由,2023-12-12T22:22:00,office,10,4,7,6,,,9,,10,9,3,7,5,-5,unknown,1,6,かなり落ち着いて話せた。準備が効いた感じがある。
4,16,planned,interview,転職理由,2026-02-20T16:24:00,online,8,6,7,7,7,10,7,,,,,,,,,,,
5,24,planned,interview,キャリアの方向性,2025-12-29T09:52:00,client_site,5,6,9,,9,9,,,,,,,,,,,,
6,2,completed,family,介護の相談,2025-03-03T21:47:00,client_site,5,5,3,7,6,,,,5,3,5,1,7,-2,very_positive,4,3,少し泣いたけど言いたいことは伝えられた。
7,2,completed,partner,将来の暮らし,2025-08-04T13:05:00,home,7,9,10,,,10,,,8,8,5,10,2,-1,unknown,10,2,少し泣いたけど言いたいことは伝えられた。
8,15,completed,one_on_one,人間関係の摩擦,2024-12-03T18:54:00,cafe,6,7,6,,,6,,,8,6,9,6,1,-3,neutral,5,7,かなりつらかったが、終わってみると少し楽になった。
9,4,completed,family,介護の相談,2025-02-20T17:36:00,home,7,5,3,,,5,3,4,10,3,7,8,0,-2,unknown,,,
10,3,completed,partner,将来の暮らし,2024-10-22T19:24:00,office,8,7,8,9,,9,,,9,8,4,8,3,-4,neutral,2,6,かなりつらかったが、終わってみると少し楽になった。
11,27,completed,one_on_one,人間関係の摩擦,2024-03-21T08:36:00,cafe,4,6,4,7,10,8,3,1,4,0,3,3,7,0,negative,,,
12,3,planned,interview,過去の退職理由,2026-02-10T10:29:00,office,3,7,6,8,,4,7,,,,,,,,,,,
13,4,completed,family,家族との距離感,2025-05-15T13:18:00,home,6,4,7,,4,,9,1,8,4,6,8,7,-1,very_positive,12,7,少し泣いたけど言いたいことは伝えられた。
14,2,completed,interview,評価面談,2024-06-27T21:15:00,office,7,7,6,,6,6,7,,10,5,10,5,7,-3,unknown,,,
15,8,completed,one_on_one,キャリア相談,2025-01-28T22:02:00,coworking,5,9,6,5,6,8,,,3,5,8,7,1,-1,negative,9,5,かなりつらかったが、終わってみると少し楽になった。
16,1,completed,other,将来への漠然とした不安,2025-10-17T10:49:00,office,5,10,10,,,7,,,6,6,10,10,1,-1,very_negative,8,2,ほとんど話せずに終わってしまった。次は準備を変えたい。
17,1,cancelled,client,トラブルの謝罪,2026-01-22T15:53:00,cafe,8,4,4,4,8,,,,,,,,,,,,,
18,25,completed,client,トラブルの謝罪,2023-12-23T09:50:00,coworking,10,3,5,,4,5,8,,10,6,3,7,1,-1,neutral,,,
19,1,cancelled,partner,お金の話,2025-01-12T17:45:00,park,9,5,2,8,,,6,9,,,,,,,,,,
20,29,planned,interview,評価面談,2026-02-22T19:56:00,cafe,6,6,8,,,9,10,,,,,,,,,,,
21,4,completed,one_on_one,業務負荷の相談,2024-09-14T14:54:00,office,9,1,9,9,6,,5,,10,5,2,9,4,-4,very_negative,,,
22,19,planned,other,将来への漠然とした不安,2026-02-10T13:12:00,office,6,4,6,,,4,,,,,,,,,,,,
23,27,completed,other,自己開示の練習,2025-09-01T20:33:00,cafe,8,3,1,,9,7,,,10,7,3,1,5,-3,positive,4,2,泣かなかったが本音をあまり出せなかった。
24,28,completed,interview,評価面談,2025-04-24T18:00:00,cafe,6,9,6,6,,4,,1,4,4,5,5,5,-2,unknown,13,2,正直、今回はタイミングを間違えたかもしれない。
25,10,completed,one_on_one,キャリア相談,2024-01-01T10:08:00,client_site,8,2,2,9,10,10,,3,10,8,0,0,5,-1,very_negative,4,4,相手の反応が予想外で混乱した。振り返りが必要。
26,2,completed,interview,評価面談,2024-03-12T11:16:00,online,9,6,8,,10,5,1,6,10,5,9,6,6,-2,very_positive,6,6,少し泣いたけど言いたいことは伝えられた。
27,22,completed,client,契約更新,2025-11-17T12:09:00,home,5,7,8,,5,7,,,7,2,6,10,1,-1,neutral,2,5,正直、今回はタイミングを間違えたかもしれない。
28,11,completed,one_on_one,キャリア相談,2024-07-24T20:03:00,office,7,3,3,,5,,,,5,6,3,2,5,-2,unknown,,,
29,5,completed,interview,過去の退職理由,2025-08-21T11:39:00,park,8,10,7,,5,7,,1,6,10,10,5,4,-2,negative,7,5,ほとんど話せずに終わってしまった。次は準備を変えたい。
30,3,planned,one_on_one,人間関係の摩擦,2026-01-20T10:37:00,home,9,4,5,,9,7,,,,,,,,,,,,
